,day,added,path,size
72,2007-03-29,2023-03-22 19:51:16+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007032900_2007033000.csv.gz,0.1240234375
73,2007-03-31,2023-03-22 19:51:17+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007033100_2007040100.csv.gz,0.1259765625
74,2007-04-02,2023-03-22 19:51:19+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007040200_2007040300.csv.gz,0.1240234375
75,2007-04-04,2023-03-22 19:51:20+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007040400_2007040500.csv.gz,0.1279296875
76,2007-04-06,2023-03-22 19:51:22+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007040600_2007040700.csv.gz,0.125
77,2007-04-08,2023-03-22 19:51:23+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007040800_2007040900.csv.gz,0.125
78,2007-04-10,2023-03-22 19:51:25+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007041000_2007041100.csv.gz,0.080078125
79,2007-04-12,2023-03-22 19:51:26+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007041200_2007041300.csv.gz,0.0791015625
80,2007-04-14,2023-03-22 19:51:28+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007041400_2007041500.csv.gz,0.080078125
81,2007-04-18,2023-03-22 19:51:29+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007041800_2007041900.csv.gz,0.08203125
82,2007-04-20,2023-03-22 19:51:31+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007042000_2007042100.csv.gz,0.0791015625
83,2007-04-22,2023-03-22 19:51:32+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007042200_2007042300.csv.gz,0.080078125
84,2007-04-24,2023-03-22 19:51:34+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007042400_2007042500.csv.gz,0.080078125
85,2007-04-26,2023-03-22 19:51:35+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007042600_2007042700.csv.gz,0.0791015625
86,2007-04-28,2023-03-22 19:51:37+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007042800_2007042900.csv.gz,0.080078125
87,2007-04-30,2023-03-22 19:51:38+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007043000_2007050100.csv.gz,0.0791015625
88,2007-05-02,2023-03-22 19:51:39+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007050200_2007050300.csv.gz,0.0810546875
89,2007-05-04,2023-03-22 19:51:41+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007050400_2007050500.csv.gz,0.080078125
90,2007-05-06,2023-03-22 19:51:42+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007050600_2007050700.csv.gz,0.080078125
91,2007-05-08,2023-03-22 19:51:44+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007050800_2007050900.csv.gz,0.076171875
92,2007-05-10,2023-03-22 19:51:45+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007051000_2007051100.csv.gz,0.080078125
93,2007-05-12,2023-03-22 19:51:47+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007051200_2007051300.csv.gz,0.080078125
94,2007-05-14,2023-03-22 19:51:48+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007051400_2007051500.csv.gz,0.0810546875
95,2007-05-18,2023-03-22 19:51:50+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007051800_2007051900.csv.gz,0.0771484375
96,2007-05-20,2023-03-22 19:51:51+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007052000_2007052100.csv.gz,0.078125
97,2007-05-22,2023-03-22 19:51:53+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007052200_2007052300.csv.gz,0.08203125
98,2007-05-24,2023-03-22 19:51:54+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007052400_2007052500.csv.gz,0.0810546875
99,2007-05-26,2023-03-22 19:51:56+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007052600_2007052700.csv.gz,0.080078125
100,2007-05-28,2023-03-22 19:51:57+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007052800_2007052900.csv.gz,0.0771484375
101,2007-05-30,2023-03-22 19:51:59+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007053000_2007053100.csv.gz,0.080078125
102,2007-06-01,2023-03-22 19:52:00+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007060100_2007060200.csv.gz,0.080078125
103,2007-06-03,2023-03-22 19:52:02+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007060300_2007060400.csv.gz,0.0791015625
104,2007-06-05,2023-03-22 19:52:03+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007060500_2007060600.csv.gz,0.080078125
105,2007-06-07,2023-03-22 19:52:05+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007060700_2007060800.csv.gz,0.0810546875
106,2007-06-09,2023-03-22 19:52:06+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007060900_2007061000.csv.gz,0.0791015625
107,2007-06-11,2023-03-22 19:52:08+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007061100_2007061200.csv.gz,0.0810546875
